MAPT_expression,Amyloid_deposition_z
8.21798561151079,2.64971751412429
8.24532374100719,3.71186440677966
8.33453237410072,3.04519774011299
8.39352517985612,2.36723163841808
8.47553956834532,1.56497175141243
8.49280575539568,0.728813559322035
8.53021582733813,1.33898305084746
8.50575539568345,1.75706214689266
8.39928057553957,3.49717514124294
8.39352517985612,3.07909604519774
8.46834532374101,2.2090395480226
8.45539568345324,2.44632768361582
8.45251798561151,2.57062146892655
8.5,2.57062146892655
8.50287769784173,2.15254237288136
8.55467625899281,2.02824858757062
8.43669064748202,3.03389830508475
8.4568345323741,2.92090395480226
8.4726618705036,2.93220338983051
8.49136690647482,3.18079096045198
8.46834532374101,4.06214689265537
8.54748201438849,3.75706214689266
8.58201438848921,4.45762711864407
8.53597122302158,3.10169491525424
8.56187050359712,3.25988700564972
8.56906474820144,3.3954802259887
8.64532374100719,3.8135593220339
8.62086330935252,3.3728813559322
8.62374100719424,2.84180790960452
8.63093525179856,2.81920903954802
8.65971223021583,3.21468926553672
8.72589928057554,2.76271186440678
8.73309352517986,2.79661016949153
8.78057553956834,2.5819209039548
